,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,type_num,difbalanceOrig,difbalanceOrig_cat,comerciante,difbalanceDest,difbalanceDest_cat,type_cat
2340,7,CASH_OUT,5460002.91,C1588880909,5460002.91,0.0,C1570256460,0.0,9281535.44,1,0,1,-5460002.91,-1,0,9281535.44,1,1
2849,7,TRANSFER,164.0,C1455969984,164.0,0.0,C2119910556,0.0,0.0,1,0,4,-164.0,-1,0,0.0,0,1
2850,7,CASH_OUT,164.0,C1173659886,164.0,0.0,C1769947269,4068.0,0.0,1,0,1,-164.0,-1,0,-4068.0,-1,1
2854,7,TRANSFER,21571.0,C786114805,21571.0,0.0,C1666314150,0.0,0.0,1,0,4,-21571.0,-1,0,0.0,0,1
2855,7,CASH_OUT,21571.0,C452475723,21571.0,0.0,C2089016471,30797.41,71140.3,1,0,1,-21571.0,-1,0,40342.89,1,1
2914,7,TRANSFER,441445.58,C1023505879,441445.58,0.0,C847761155,0.0,0.0,1,0,4,-441445.58,-1,0,0.0,0,1
2915,7,CASH_OUT,441445.58,C398085606,441445.58,0.0,C2072030256,98993.5,0.0,1,0,1,-441445.58,-1,0,-98993.5,-1,1
3751,8,CASH_OUT,181728.11,C2102265902,0.0,0.0,C789014007,11397.0,184477.77,1,0,1,0.0,0,0,173080.77,1,1
5024,8,TRANSFER,222.0,C1961506277,222.0,0.0,C378841819,0.0,267095.19,1,0,4,-222.0,-1,0,267095.19,1,1
5025,8,CASH_OUT,222.0,C1737727444,222.0,0.0,C588779235,24708.0,171647.35,1,0,1,-222.0,-1,0,146939.35,1,1
7509,8,TRANSFER,1996.17,C1198040187,1996.17,0.0,C1828047633,0.0,0.0,1,0,4,-1996.17,-1,0,0.0,0,1
7510,8,CASH_OUT,1996.17,C858959216,1996.17,0.0,C864078397,2559.74,4555.92,1,0,1,-1996.17,-1,0,1996.1800000000003,1,1
7779,8,TRANSFER,1078013.76,C1026280121,0.0,0.0,C277510102,0.0,970749.68,1,0,4,0.0,0,0,970749.68,1,1
10845,8,TRANSFER,89631.24,C74534388,89631.24,0.0,C1748042844,0.0,0.0,1,0,4,-89631.24,-1,0,0.0,0,1
10846,8,CASH_OUT,89631.24,C1938531779,89631.24,0.0,C2048578791,21175.0,0.0,1,0,1,-89631.24,-1,0,-21175.0,-1,1
10965,8,TRANSFER,29707.86,C1825456600,29707.86,0.0,C570409417,0.0,0.0,1,0,4,-29707.86,-1,0,0.0,0,1
10966,8,CASH_OUT,29707.86,C515973302,29707.86,0.0,C170071280,10935.0,0.0,1,0,1,-29707.86,-1,0,-10935.0,-1,1
11094,8,TRANSFER,43092.0,C1683174795,43092.0,0.0,C427998326,0.0,0.0,1,0,4,-43092.0,-1,0,0.0,0,1
11095,8,CASH_OUT,43092.0,C1395071924,43092.0,0.0,C79685693,660641.74,1158662.9,1,0,1,-43092.0,-1,0,498021.1599999999,1,1
12024,9,TRANSFER,556218.01,C1769581889,556218.01,0.0,C217441120,0.0,0.0,1,0,4,-556218.01,-1,0,0.0,0,1
12025,9,CASH_OUT,556218.01,C589143360,556218.01,0.0,C1992550266,0.0,582265.81,1,0,1,-556218.01,-1,0,582265.81,1,1
12366,9,TRANSFER,11308.0,C299933576,11308.0,0.0,C1060999444,0.0,0.0,1,0,4,-11308.0,-1,0,0.0,0,1
12367,9,CASH_OUT,11308.0,C921533797,11308.0,0.0,C424669538,0.0,302550.56,1,0,1,-11308.0,-1,0,302550.56,1,1
17077,9,TRANSFER,350705.74,C1452168793,350705.74,0.0,C399194578,0.0,1184633.07,1,0,4,-350705.74,-1,0,1184633.07,1,1
17078,9,CASH_OUT,350705.74,C58527359,350705.74,0.0,C582901057,894760.68,1794033.65,1,0,1,-350705.74,-1,0,899272.9699999999,1,1
18383,9,TRANSFER,2539898.07,C394488466,2539898.07,0.0,C575638324,0.0,261290.69,1,0,4,-2539898.07,-1,0,261290.69,1,1
18384,9,CASH_OUT,2539898.07,C728718059,2539898.07,0.0,C1013511446,968.0,1842864.22,1,0,1,-2539898.07,-1,0,1841896.22,1,1
18399,9,TRANSFER,361559.69,C1287719145,361559.69,0.0,C352239275,0.0,141302.12,1,0,4,-361559.69,-1,0,141302.12,1,1
18400,9,CASH_OUT,361559.69,C684758020,361559.69,0.0,C1769042905,504667.31,189441.24,1,0,1,-361559.69,-1,0,-315226.07,-1,1
21050,9,TRANSFER,1154353.99,C670587931,1154353.99,0.0,C150406565,0.0,10872.9,1,0,4,-1154353.99,-1,0,10872.9,1,1
21051,9,CASH_OUT,1154353.99,C1034219836,1154353.99,0.0,C1195589213,162222.0,1965587.6,1,0,1,-1154353.99,-1,0,1803365.6,1,1
21958,9,TRANSFER,21922.0,C102617052,21922.0,0.0,C760675871,0.0,0.0,1,0,4,-21922.0,-1,0,0.0,0,1
21959,9,CASH_OUT,21922.0,C1499032143,21922.0,0.0,C1508330669,1929861.61,2046918.8,1,0,1,-21922.0,-1,0,117057.18999999994,1,1
23083,9,TRANSFER,994453.2,C1121789613,1437370.87,442917.67,C254839817,194812.76,665743.67,1,0,4,-994453.2000000002,-1,0,470930.91000000003,1,1
26354,9,TRANSFER,1055.0,C666486325,1055.0,0.0,C279565067,0.0,0.0,1,0,4,-1055.0,-1,0,0.0,0,1
26355,9,CASH_OUT,1055.0,C1764109750,1055.0,0.0,C1522743169,75179.0,0.0,1,0,1,-1055.0,-1,0,-75179.0,-1,1
27621,9,TRANSFER,244068.01,C1087133093,244068.01,0.0,C1855553543,0.0,0.0,1,0,4,-244068.01,-1,0,0.0,0,1
27622,9,CASH_OUT,244068.01,C507466068,244068.01,0.0,C706331499,0.0,338538.16,1,0,1,-244068.01,-1,0,338538.16,1,1
27793,10,TRANSFER,59835.0,C1568400442,59835.0,0.0,C1262169546,0.0,0.0,1,0,4,-59835.0,-1,0,0.0,0,1
27794,10,CASH_OUT,59835.0,C1020461364,59835.0,0.0,C2144015041,255480.76,315315.76,1,0,1,-59835.0,-1,0,59835.0,1,1
30126,10,CASH_OUT,277970.88,C489647033,0.0,0.0,C571514738,0.0,277970.88,1,0,1,0.0,0,0,277970.88,1,1
35240,10,TRANSFER,93810.76,C481501970,93810.76,0.0,C1262577882,0.0,0.0,1,0,4,-93810.76,-1,0,0.0,0,1
35241,10,CASH_OUT,93810.76,C1190429229,93810.76,0.0,C2104652067,4096048.05,4189858.81,1,0,1,-93810.76,-1,0,93810.76000000024,1,1
38980,10,TRANSFER,503405.88,C1446009472,503405.88,0.0,C2010733400,0.0,0.0,1,0,4,-503405.88,-1,0,0.0,0,1
38981,10,CASH_OUT,503405.88,C140359285,503405.88,0.0,C2020337583,29669.0,533074.88,1,0,1,-503405.88,-1,0,503405.88,1,1
40220,10,TRANSFER,2662734.59,C1182702586,2662734.59,0.0,C2143409210,0.0,0.0,1,0,4,-2662734.59,-1,0,0.0,0,1
40221,10,CASH_OUT,2662734.59,C813115168,2662734.59,0.0,C401825929,14165.62,2930405.33,1,0,1,-2662734.59,-1,0,2916239.71,1,1
40496,10,TRANSFER,9217.19,C184586799,9217.19,0.0,C812377986,0.0,96795.6,1,0,4,-9217.19,-1,0,96795.6,1,1
40497,10,CASH_OUT,9217.19,C1105700111,9217.19,0.0,C1767952032,0.0,9217.19,1,0,1,-9217.19,-1,0,9217.19,1,1
55127,11,TRANSFER,2100.0,C785601242,2100.0,0.0,C1576053316,0.0,0.0,1,0,4,-2100.0,-1,0,0.0,0,1
55128,11,CASH_OUT,2100.0,C169099320,2100.0,0.0,C697156329,112512.48,114612.48,1,0,1,-2100.0,-1,0,2100.0,1,1
56104,11,TRANSFER,1933920.8,C1706582969,0.0,0.0,C461905695,1283762.85,3217683.65,1,0,4,0.0,0,0,1933920.7999999998,1,1
57343,11,TRANSFER,313418.28,C711446907,313418.28,0.0,C888769567,0.0,97980.88,1,0,4,-313418.28,-1,0,97980.88,1,1
57344,11,CASH_OUT,313418.28,C2021456831,313418.28,0.0,C157591472,688164.64,1029922.17,1,0,1,-313418.28,-1,0,341757.53,1,1
57614,11,TRANSFER,12461.0,C2079232448,12461.0,0.0,C585834595,0.0,0.0,1,0,4,-12461.0,-1,0,0.0,0,1
57615,11,CASH_OUT,12461.0,C938980312,12461.0,0.0,C621014131,27964.11,40425.11,1,0,1,-12461.0,-1,0,12461.0,1,1
59381,12,TRANSFER,19472.0,C1101705841,19472.0,0.0,C925285469,0.0,0.0,1,0,4,-19472.0,-1,0,0.0,0,1
59382,12,CASH_OUT,19472.0,C1205151454,19472.0,0.0,C664770316,0.0,19472.0,1,0,1,-19472.0,-1,0,19472.0,1,1
61642,12,TRANSFER,3964129.99,C576568419,3964129.99,0.0,C1571546632,0.0,0.0,1,0,4,-3964129.99,-1,0,0.0,0,1
61643,12,CASH_OUT,3964129.99,C1098250442,3964129.99,0.0,C1140712423,1912955.54,5811064.07,1,0,1,-3964129.99,-1,0,3898108.5300000003,1,1
61752,12,TRANSFER,1041647.06,C345293642,1041647.06,0.0,C937194908,0.0,0.0,1,0,4,-1041647.06,-1,0,0.0,0,1
61753,12,CASH_OUT,1041647.06,C169939918,1041647.06,0.0,C1673501963,52730.33,1094377.39,1,0,1,-1041647.06,-1,0,1041647.0599999999,1,1
68589,12,TRANSFER,2066467.64,C1223631235,2066467.64,0.0,C1281019843,0.0,81209.81,1,0,4,-2066467.64,-1,0,81209.81,1,1
68590,12,CASH_OUT,2066467.64,C684252268,2066467.64,0.0,C2027569559,194510.24,3098566.67,1,0,1,-2066467.64,-1,0,2904056.4299999997,1,1
69558,12,CASH_OUT,149668.66,C227115333,0.0,0.0,C460735540,44170.11,193838.76,1,0,1,0.0,0,0,149668.65000000002,1,1
71521,12,TRANSFER,2007.0,C439464764,2007.0,0.0,C562360384,0.0,0.0,1,0,4,-2007.0,-1,0,0.0,0,1
71522,12,CASH_OUT,2007.0,C1331829443,2007.0,0.0,C127509847,129917.8,250910.76,1,0,1,-2007.0,-1,0,120992.96,1,1
73567,12,CASH_OUT,222048.71,C265790428,0.0,0.0,C1700442291,2979.0,225027.71,1,0,1,0.0,0,0,222048.71,1,1
75176,12,TRANSFER,8677.0,C288028999,8677.0,0.0,C184294001,0.0,0.0,1,0,4,-8677.0,-1,0,0.0,0,1
75177,12,CASH_OUT,8677.0,C343345083,8677.0,0.0,C200064275,225127.62,233804.62,1,0,1,-8677.0,-1,0,8677.0,1,1
75658,13,TRANSFER,408.0,C2021466585,408.0,0.0,C1864486913,0.0,226013.18,1,0,4,-408.0,-1,0,226013.18,1,1
75659,13,CASH_OUT,408.0,C1894004688,408.0,0.0,C1293978242,898297.85,1075854.14,1,0,1,-408.0,-1,0,177556.28999999992,1,1
80566,13,TRANSFER,48375.02,C920803432,48375.02,0.0,C1767389067,0.0,0.0,1,0,4,-48375.02,-1,0,0.0,0,1
80567,13,CASH_OUT,48375.02,C1894578299,48375.02,0.0,C590035788,374803.26,658520.33,1,0,1,-48375.02,-1,0,283717.06999999995,1,1
81883,13,TRANSFER,4022667.54,C735463888,4022667.54,0.0,C1548348754,0.0,0.0,1,0,4,-4022667.54,-1,0,0.0,0,1
81884,13,CASH_OUT,4022667.54,C79951219,4022667.54,0.0,C1499489682,80136.56,4057191.21,1,0,1,-4022667.54,-1,0,3977054.65,1,1
83849,13,CASH_OUT,454859.39,C1274887619,0.0,0.0,C2146670328,0.0,454859.39,1,0,1,0.0,0,0,454859.39,1,1
84563,13,TRANSFER,1161495.82,C1864459372,1161495.82,0.0,C537531657,0.0,0.0,1,0,4,-1161495.82,-1,0,0.0,0,1
84564,13,CASH_OUT,1161495.82,C165094398,1161495.82,0.0,C1966002811,319036.02,1565123.81,1,0,1,-1161495.82,-1,0,1246087.79,1,1
85346,13,TRANSFER,2686564.04,C364029634,2686564.04,0.0,C2041291172,0.0,0.0,1,0,4,-2686564.04,-1,0,0.0,0,1
85347,13,CASH_OUT,2686564.04,C901331326,2686564.04,0.0,C1662761228,438199.37,3124763.41,1,0,1,-2686564.04,-1,0,2686564.04,1,1
91321,13,TRANSFER,6188514.81,C135832352,6188514.81,0.0,C2009346140,0.0,0.0,1,0,4,-6188514.81,-1,0,0.0,0,1
91322,13,CASH_OUT,6188514.81,C686187434,6188514.81,0.0,C1562904239,381607.21,6424681.56,1,0,1,-6188514.81,-1,0,6043074.35,1,1
91717,13,TRANSFER,123194.95,C2143112877,79466.45,0.0,C1755380031,535933.16,263908.84,1,0,4,-79466.45,-1,0,-272024.32,-1,1
93828,14,TRANSFER,2093951.47,C1374377088,2093951.47,0.0,C207611232,0.0,0.0,1,0,4,-2093951.47,-1,0,0.0,0,1
93829,14,CASH_OUT,2093951.47,C1440901488,2093951.47,0.0,C166839225,0.0,2093951.47,1,0,1,-2093951.47,-1,0,2093951.47,1,1
103013,14,TRANSFER,143032.0,C1960144830,143032.0,0.0,C801162238,0.0,0.0,1,0,4,-143032.0,-1,0,0.0,0,1
103014,14,CASH_OUT,143032.0,C465166521,143032.0,0.0,C487776685,814654.61,1020323.73,1,0,1,-143032.0,-1,0,205669.12,1,1
103478,14,TRANSFER,2927005.15,C2081788795,2927005.15,0.0,C2138456206,0.0,0.0,1,0,4,-2927005.15,-1,0,0.0,0,1
103479,14,CASH_OUT,2927005.15,C2010427735,2927005.15,0.0,C1887744176,0.0,2994420.07,1,0,1,-2927005.15,-1,0,2994420.07,1,1
106023,14,TRANSFER,1832319.42,C439830884,1832319.42,0.0,C1133002328,0.0,0.0,1,0,4,-1832319.42,-1,0,0.0,0,1
106024,14,CASH_OUT,1832319.42,C803703656,1832319.42,0.0,C858007309,43962.42,2440139.69,1,0,1,-1832319.42,-1,0,2396177.27,1,1
109182,14,TRANSFER,1561891.66,C736093511,1561891.66,0.0,C1224081716,0.0,0.0,1,0,4,-1561891.66,-1,0,0.0,0,1
109183,14,CASH_OUT,1561891.66,C15204463,1561891.66,0.0,C1255502452,3471928.95,6443177.56,1,0,1,-1561891.66,-1,0,2971248.6099999994,1,1
111142,14,TRANSFER,65488.05,C236875489,65488.05,0.0,C528705657,0.0,0.0,1,0,4,-65488.05,-1,0,0.0,0,1
111143,14,CASH_OUT,65488.05,C1137669976,65488.05,0.0,C1526507740,0.0,65488.05,1,0,1,-65488.05,-1,0,65488.05,1,1
116581,15,TRANSFER,696763.08,C968403759,696763.08,0.0,C1524019269,0.0,69861.26,1,0,4,-696763.08,-1,0,69861.26,1,1
116582,15,CASH_OUT,696763.08,C725915377,696763.08,0.0,C1656726101,366114.58,1347073.81,1,0,1,-696763.08,-1,0,980959.23,1,1
119304,15,TRANSFER,119.0,C1995557473,119.0,0.0,C1480876722,0.0,0.0,1,0,4,-119.0,-1,0,0.0,0,1
119305,15,CASH_OUT,119.0,C1584512618,119.0,0.0,C2102058838,4844060.13,4844179.13,1,0,1,-119.0,-1,0,119.0,1,1
119621,15,TRANSFER,128473.62,C1012580160,128473.62,0.0,C540657255,0.0,0.0,1,0,4,-128473.62,-1,0,0.0,0,1
119622,15,CASH_OUT,128473.62,C905234452,128473.62,0.0,C786510892,0.0,128473.62,1,0,1,-128473.62,-1,0,128473.62,1,1
122987,15,TRANSFER,248056.41,C1474711983,248056.41,0.0,C1009564356,0.0,0.0,1,0,4,-248056.41,-1,0,0.0,0,1
122988,15,CASH_OUT,248056.41,C1055229266,248056.41,0.0,C1689170857,0.0,201427.47,1,0,1,-248056.41,-1,0,201427.47,1,1
123656,15,TRANSFER,164500.81,C1761347420,164500.81,0.0,C383804904,0.0,0.0,1,0,4,-164500.81,-1,0,0.0,0,1
123657,15,CASH_OUT,164500.81,C1689700172,164500.81,0.0,C149696600,685636.21,850137.02,1,0,1,-164500.81,-1,0,164500.81000000006,1,1
124729,15,TRANSFER,212089.74,C378910639,212089.74,0.0,C1881567873,0.0,0.0,1,0,4,-212089.74,-1,0,0.0,0,1
124730,15,CASH_OUT,212089.74,C1970843703,212089.74,0.0,C597280894,257758.48,469848.23,1,0,1,-212089.74,-1,0,212089.74999999997,1,1
126138,15,CASH_OUT,95428.32,C947728507,0.0,0.0,C1720721903,0.0,95428.32,1,0,1,0.0,0,0,95428.32,1,1
128759,15,CASH_OUT,39713.28,C1404885898,0.0,0.0,C1795377601,1274866.51,1314579.79,1,0,1,0.0,0,0,39713.28000000003,1,1
131135,15,TRANSFER,170.0,C553034695,170.0,0.0,C26381896,0.0,0.0,1,0,4,-170.0,-1,0,0.0,0,1
131136,15,CASH_OUT,170.0,C1065370362,170.0,0.0,C200064275,413421.36,345764.15,1,0,1,-170.0,-1,0,-67657.20999999996,-1,1
131429,15,TRANSFER,747282.4,C1695793096,747282.4,0.0,C849010584,0.0,0.0,1,0,4,-747282.4,-1,0,0.0,0,1
131430,15,CASH_OUT,747282.4,C842684426,747282.4,0.0,C2025644484,5340917.82,6088200.22,1,0,1,-747282.4,-1,0,747282.3999999994,1,1
131830,15,TRANSFER,59385.67,C1275373422,59385.67,0.0,C1704707395,0.0,0.0,1,0,4,-59385.67,-1,0,0.0,0,1
131831,15,CASH_OUT,59385.67,C1765315298,59385.67,0.0,C721356209,74371.0,133756.67,1,0,1,-59385.67,-1,0,59385.67000000001,1,1
138608,16,TRANSFER,2198224.71,C752563135,2198224.71,0.0,C247007952,0.0,0.0,1,0,4,-2198224.71,-1,0,0.0,0,1
